Employee ID,Attrition Probability (%)
1001,1.4653487965932381e-06
2193,1.4653487965932381e-06
2197,1.4653487965932381e-06
2197,1.4653487965932381e-06
2197,1.4653487965932381e-06
2196,1.4653487965932381e-06
2196,1.4653487965932381e-06
2196,1.4653487965932381e-06
2196,1.4653487965932381e-06
2196,1.4653487965932381e-06
2196,1.4653487965932381e-06
2195,1.4653487965932381e-06
2195,1.4653487965932381e-06
2195,1.4653487965932381e-06
2195,1.4653487965932381e-06
2195,1.4653487965932381e-06
2195,1.4653487965932381e-06
2194,1.4653487965932381e-06
2194,1.4653487965932381e-06
2194,1.4653487965932381e-06
2194,1.4653487965932381e-06
2194,1.4653487965932381e-06
2193,1.4653487965932381e-06
2197,1.4653487965932381e-06
2199,1.4653487965932381e-06
2199,1.4653487965932381e-06
2202,1.4653487965932381e-06
2204,1.4653487965932381e-06
2204,1.4653487965932381e-06
2204,1.4653487965932381e-06
2203,1.4653487965932381e-06
2203,1.4653487965932381e-06
2203,1.4653487965932381e-06
2203,1.4653487965932381e-06
2203,1.4653487965932381e-06
2203,1.4653487965932381e-06
2202,1.4653487965932381e-06
2199,1.4653487965932381e-06
2202,1.4653487965932381e-06
2202,1.4653487965932381e-06
2202,1.4653487965932381e-06
2202,1.4653487965932381e-06
2201,1.4653487965932381e-06
2201,1.4653487965932381e-06
2200,1.4653487965932381e-06
2200,1.4653487965932381e-06
2199,1.4653487965932381e-06
2193,1.4653487965932381e-06
2192,1.4653487965932381e-06
2235,1.4653487965932381e-06
2192,1.4653487965932381e-06
2185,1.4653487965932381e-06
2185,1.4653487965932381e-06
2185,1.4653487965932381e-06
2185,1.4653487965932381e-06
2185,1.4653487965932381e-06
2184,1.4653487965932381e-06
2184,1.4653487965932381e-06
2184,1.4653487965932381e-06
2183,1.4653487965932381e-06
2183,1.4653487965932381e-06
2183,1.4653487965932381e-06
2183,1.4653487965932381e-06
2182,1.4653487965932381e-06
2182,1.4653487965932381e-06
2181,1.4653487965932381e-06
2181,1.4653487965932381e-06
2181,1.4653487965932381e-06
2181,1.4653487965932381e-06
2181,1.4653487965932381e-06
2179,1.4653487965932381e-06
2179,1.4653487965932381e-06
2185,1.4653487965932381e-06
2187,1.4653487965932381e-06
2187,1.4653487965932381e-06
2191,1.4653487965932381e-06
2192,1.4653487965932381e-06
2192,1.4653487965932381e-06
2192,1.4653487965932381e-06
2192,1.4653487965932381e-06
2191,1.4653487965932381e-06
2191,1.4653487965932381e-06
2191,1.4653487965932381e-06
2191,1.4653487965932381e-06
2191,1.4653487965932381e-06
2189,1.4653487965932381e-06
2187,1.4653487965932381e-06
2189,1.4653487965932381e-06
2189,1.4653487965932381e-06
2189,1.4653487965932381e-06
2189,1.4653487965932381e-06
2188,1.4653487965932381e-06
2188,1.4653487965932381e-06
2188,1.4653487965932381e-06
2187,1.4653487965932381e-06
2187,1.4653487965932381e-06
2204,1.4653487965932381e-06
2206,1.4653487965932381e-06
2206,1.4653487965932381e-06
2207,1.4653487965932381e-06
2226,1.4653487965932381e-06
2226,1.4653487965932381e-06
2226,1.4653487965932381e-06
2225,1.4653487965932381e-06
2225,1.4653487965932381e-06
2224,1.4653487965932381e-06
2224,1.4653487965932381e-06
2224,1.4653487965932381e-06
2224,1.4653487965932381e-06
2223,1.4653487965932381e-06
2223,1.4653487965932381e-06
2223,1.4653487965932381e-06
2223,1.4653487965932381e-06
2223,1.4653487965932381e-06
2223,1.4653487965932381e-06
2222,1.4653487965932381e-06
2222,1.4653487965932381e-06
2222,1.4653487965932381e-06
2222,1.4653487965932381e-06
2222,1.4653487965932381e-06
2221,1.4653487965932381e-06
2227,1.4653487965932381e-06
2227,1.4653487965932381e-06
2227,1.4653487965932381e-06
